ID	adj.P.Val	P.Value	logFC	GeneSymbol
A_33_P3215457	0.2663	7.32E-04	-1.46	
A_33_P3419032	0.2672	7.40E-04	-7.04E-01	
CUST_21273_PI429545410	0.2672	7.52E-04	7.94E-01	
CUST_42553_PI429545376	0.2672	7.53E-04	-5.10E-01	
CUST_21247_PI429545399	0.2672	7.55E-04	1.28	
CUST_18373_PI429545376	0.2672	7.58E-04	-1.12	
A_24_P269129	0.2672	7.60E-04	-6.10E-01	ZDHHC14
A_23_P392402	0.2672	7.63E-04	-3.15	GLP1R
A_23_P92107	0.2672	7.67E-04	-1.29	SLC15A2
CUST_25893_PI429545410	0.2714	7.87E-04	-1.19	
CUST_22847_PI429545388	0.2714	7.88E-04	-5.92E-01	
A_33_P3284813	0.2714	7.91E-04	-1.33	
CUST_45002_PI429545395	0.2723	7.99E-04	-7.68E-01	
CUST_33691_PI429545395	0.2723	8.05E-04	-6.16E-01	
CUST_21948_PI429545376	0.2723	8.06E-04	6.18E-01	
A_23_P302634	0.2731	8.18E-04	-9.98E-01	OTOGL
A_33_P3274204	0.2731	8.19E-04	8.34E-01	
A_23_P406782	0.2731	8.26E-04	-9.48E-01	HPN
CUST_39196_PI429545399	0.2731	8.29E-04	-1.5	
CUST_23948_PI429545402	0.2731	8.29E-04	-9.54E-01	
A_32_P341615	0.2762	8.43E-04	1.05	C9orf84
A_23_P214026	0.2791	8.56E-04	9.70E-01	
A_21_P0011057	0.2792	8.77E-04	-7.14E-01	
CUST_40213_PI429545410	0.2792	8.83E-04	1.34	
CUST_39669_PI429545376	0.2792	8.85E-04	-1.27	
CUST_35001_PI429545395	0.2792	8.87E-04	1.4	
A_33_P3415012	0.2792	8.88E-04	-6.12E-01	KCNA6
A_24_P60268	0.2792	8.95E-04	-8.38E-01	LRRTM4
A_33_P3638471	0.2792	8.96E-04	1.36	
A_32_P213831	0.2792	9.11E-04	-6.50E-01	FAM40B
A_23_P149064	0.2792	9.11E-04	-5.20E-01	PTPRU
A_33_P3334803	0.2792	9.13E-04	8.04E-01	
CUST_37483_PI429545410	0.2792	9.17E-04	7.56E-01	
CUST_32381_PI429545395	0.2792	9.18E-04	9.72E-01	
A_23_P126677	0.2792	9.18E-04	1.16	DNASE2B
A_23_P156880	0.2792	9.20E-04	8.70E-01	
CUST_43998_PI429545402	0.2792	9.28E-04	-7.98E-01	
CUST_25088_PI429545376	0.2792	9.29E-04	-1.37	
CUST_41292_PI429545384	0.2792	9.34E-04	-1.53	
A_23_P344884	0.2792	9.40E-04	-6.16E-01	CARNS1
CUST_42754_PI429545402	0.2792	9.42E-04	-7.22E-01	
CUST_41875_PI429545376	0.2792	9.47E-04	-1.3	
A_24_P321068	0.2792	9.48E-04	4.56E-01	
A_24_P221960	0.2792	9.50E-04	5.68E-01	
CUST_1260_PI429545376	0.2793	9.55E-04	1.31	
A_23_P155688	0.2804	9.63E-04	-2.04	SPINK2
CUST_29989_PI429545402	0.2804	9.70E-04	-1.15	
A_23_P116642	0.2804	9.76E-04	-9.14E-01	SLC26A10
A_23_P153524	0.2804	9.76E-04	-5.90E-01	
CUST_28613_PI429545384	0.2823	9.87E-04	-8.50E-01	
CUST_3414_PI429545406	0.2823	1.00E-03	-7.28E-01	
CUST_42015_PI429545380	0.2823	1.01E-03	5.08E-01	
A_32_P150891	0.2823	1.01E-03	1.85	
A_23_P148194	0.2823	1.01E-03	-1.01	
A_33_P3298159	0.2823	1.01E-03	-1.07	PTGDS
CUST_13759_PI429545380	0.2823	1.02E-03	6.02E-01	
A_33_P3399380	0.2823	1.03E-03	1.12	
CUST_13988_PI429545384	0.2823	1.03E-03	-9.24E-01	
CUST_36673_PI429545410	0.2823	1.03E-03	-1.56	
CUST_1380_PI429545388	0.2823	1.04E-03	1.08	
A_23_P305245	0.2823	1.04E-03	1.02	C3orf80
A_23_P129174	0.2823	1.04E-03	-9.74E-01	LRRC49
A_23_P118158	0.2823	1.04E-03	8.62E-01	HS3ST2
A_23_P151294	0.2836	1.05E-03	1.34	IFNG
A_23_P43273	0.2859	1.06E-03	7.30E-01	EXT1
CUST_2794_PI429545399	0.2887	1.08E-03	-9.90E-01	
A_23_P210109	0.2895	1.09E-03	9.14E-01	CYP26B1
A_23_P258088	0.2925	1.11E-03	-9.94E-01	PACSIN1
CUST_23818_PI429545376	0.2925	1.12E-03	-9.62E-01	
CUST_2572_PI429545402	0.2925	1.12E-03	-8.52E-01	
A_23_P351757	0.2925	1.12E-03	-6.36E-01	
CUST_41641_PI429545410	0.2925	1.12E-03	9.56E-01	
CUST_23778_PI429545402	0.2925	1.13E-03	8.50E-01	
A_23_P74799	0.2925	1.14E-03	7.92E-01	SLC25A24
CUST_41237_PI429545399	0.2925	1.14E-03	-8.22E-01	
A_23_P168868	0.2925	1.14E-03	-1.04	PTDSS1
A_24_P391574	0.2925	1.14E-03	1.44	LDLRAD3
A_32_P85676	0.296	1.17E-03	1.06	STK32B
CUST_26571_PI429545380	0.296	1.17E-03	8.42E-01	
CUST_34570_PI429545384	0.3011	1.19E-03	-7.38E-01	
